prospect_id,business_name,batch,vertical,url_graded,state,signal,band,confidence,viability,lane,priority,pitch_website,outreach_eligible,why,top_gap_1,top_gap_2,top_gap_3,graded_at,expires
PHL-B4-gallagher-fabrication-machine,Gallagher Fabrication Machine,B4,fabrication,https://www.gallagherfab.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Phone number is a tel: link: phone is text only, not tappable","Not a parked page, ADI default, or coming-soon: Wix ADI default",More than a single-page brochure: single-page brochure,2026-08-06,2026-11-04
PHL-B4-guaranteed-plumbing-heating,Guaranteed Plumbing Heating,B4,plumbing,https://www.guaranteedplumbingandheating.com/,live,87,excellent,0.97,35,hands_off,0,false,false,SIGNAL 87 — already an excellent site,"Real page title, not a template default: title 95 chars, truncates in results",HTML document under 150KB: 1315KB HTML document,Meta description present and sized: meta description 183 chars,2026-08-06,2027-02-02
PHL-B4-h-g-sign-company,H G Sign Company,B4,fabrication,https://www.hgsign.com/,blocked,26,weak,0.95,35,manual,0,,false,Bot wall blocked the grade — could be an excellent site,"Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B4-jdv-electric-llc,Jdv Electric LLC,B4,electrical,https://www.jdvelectric.com/,live,93,excellent,0.97,35,hands_off,0,false,false,SIGNAL 93 — already an excellent site,Address links to a map: no address or directions,"Fewer than 15 scripts, none blocking: 49 external scripts, 2 blocking",Offscreen images lazy-loaded: 0/42 images lazy-loaded,2026-08-06,2027-02-02
PHL-B4-k-a-m-sheet-metal-fab,K A M Sheet Metal Fab,B4,fabrication,https://www.kamsheetmetal.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Not a parked page, ADI default, or coming-soon: Wix ADI default",HTML document under 150KB: 990KB HTML document,JSON-LD parses with a business type: JSON-LD present (WebSite) but no business type,2026-08-06,2026-11-04
PHL-B4-manayunk-plumbing-heating,Manayunk Plumbing Heating,B4,plumbing,https://manayunkplumbingheating.com/,live,85,excellent,1,35,hands_off,0,false,false,SIGNAL 85 — already an excellent site,JSON-LD parses with a business type: no JSON-LD,Meta description present and sized: meta description 187 chars,"Modern formats, srcset, no GIF photography: 2 responsive, no webp/avif",2026-08-06,2027-02-02
PHL-B4-solution-based-plumbing-and-heating-inc,Solution Based Plumbing and Heating Inc.,B4,plumbing,https://sbphinc.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","No marquee, blink, or jQuery-era carousel: jQuery-era slider",Meta description present and sized: meta description 195 chars,"Modern formats, srcset, no GIF photography: 14 responsive, no webp/avif",2026-08-06,2026-11-04
PHL-B4-strickland-electric,Strickland Electric,B4,electrical,https://strickelectric.com/,live,89,excellent,1,35,hands_off,0,false,false,SIGNAL 89 — already an excellent site,"JSON-LD parses with a business type: JSON-LD present (WebPage, ImageObject, BreadcrumbList, WebSite) but no business type","Modern formats, srcset, no GIF photography: 34 responsive, no webp/avif",Hours published on the page: no hours on the page,2026-08-06,2027-02-02
PHL-B4-summers-quality-services,Summers Quality Services,B4,home-services,https://www.summersquality.com/,live,36,weak,0.95,35,enrich,15,,false,"SIGNAL 36 — weak site, but ability to pay is unknown","Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B4-united-metal-construction-llc,United Metal Construction LLC,B4,fabrication,https://umfab.com/,live,33,weak,0.95,35,enrich,16,,false,"SIGNAL 33 — weak site, but ability to pay is unknown","Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B4-waste-gas-fabricating-company-inc,Waste Gas Fabricating Company Inc.,B4,fabrication,https://wastegas.com/,blocked,26,weak,0.95,35,manual,0,,false,Bot wall blocked the grade — could be an excellent site,"Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B4-wilson-s-forklift-service-llc,Wilson S Forklift Service LLC,B4,fabrication,https://wilsonsforklift.com/,live,74,solid,1,35,adjacent,0,false,false,"SIGNAL 74 — site is solid, the gap is elsewhere","Phone number is a tel: link: phone is text only, not tappable","JSON-LD parses with a business type: JSON-LD present (WebPage, BreadcrumbList, WebSite) but no business type",First byte under 1200ms: 4142ms to first byte,2026-08-06,2027-02-02
PHL-B4-young-s-electrical-services-inc,Young S Electrical Services Inc.,B4,electrical,https://www.youngselectricalservicesinc.com/,live,44,weak,1,35,enrich,14,,false,"SIGNAL 44 — weak site, but ability to pay is unknown","No marquee, blink, or jQuery-era carousel: jQuery-era slider","Responsive viewport meta: viewport ""initial-scale=1, minimum-scale=1, maximum-scale=5, viewport-fit=cover"" is not device-width","Real page title, not a template default: title 93 chars, truncates in results",2026-08-06,2026-11-04
