priority,cluster,cluster_rank,keyword,target_route,intent,us_monthly_volume,keyword_difficulty,cpc_usd,semrush_relevance,serp_features,opportunity_score,data_source,researched_on
"180","entity based seo","7","google entity search","/insights/entity-first-content-architecture/","I","70","20","0.00","75","7","66.31","SEMrush Keyword Magic Tool, US database","2026-08-25"
"181","entity based seo","8","entity optimized content","/insights/entity-first-content-architecture/","I","70","26","0.00","75","8","64.81","SEMrush Keyword Magic Tool, US database","2026-08-25"
"182","entity based seo","9","what is entity seo","/insights/entity-first-content-architecture/","I","140","48","0.00","81","8","64.21","SEMrush Keyword Magic Tool, US database","2026-08-25"
"183","entity based seo","10","entity search seo","/insights/entity-first-content-architecture/","I","40","21","0.00","75","6","64.15","SEMrush Keyword Magic Tool, US database","2026-08-25"
"184","entity based seo","11","google entity seo","/insights/entity-first-content-architecture/","I","70","31","0.00","75","6","63.56","SEMrush Keyword Magic Tool, US database","2026-08-25"
"185","ai crawler","1","ai crawler","/insights/ai-search-crawlers-discovery-citations/","I","260","47","5.61","100","8","74.58","SEMrush Keyword Magic Tool, US database","2026-08-25"
"186","ai crawler","2","ai crawlers","/insights/ai-search-crawlers-discovery-citations/","I","170","33","6.27","73","5","65.27","SEMrush Keyword Magic Tool, US database","2026-08-25"
"187","ai crawler","3","what is an ai crawler","/insights/ai-search-crawlers-discovery-citations/","I","40","38","0.00","80","7","62","SEMrush Keyword Magic Tool, US database","2026-08-25"
"188","ai crawler","4","ai web crawler","/insights/ai-search-crawlers-discovery-citations/","I","260","67","6.80","77","5","59.92","SEMrush Keyword Magic Tool, US database","2026-08-25"
"189","ai crawler","5","web crawler ai","/insights/ai-search-crawlers-discovery-citations/","I","50","52","6.05","70","7","55.06","SEMrush Keyword Magic Tool, US database","2026-08-25"
"190","human in the loop ai","1","human in the loop ai","/insights/human-approval-gates-for-marketing-agents/","I","720","58","6.44","100","6","75.36","SEMrush Keyword Magic Tool, US database","2026-08-25"
"191","human in the loop ai","2","human in the loop vs human on the loop","/insights/human-approval-gates-for-marketing-agents/","I
C","140","16","14.36","75","7","74.69","SEMrush Keyword Magic Tool, US database","2026-08-25"
"192","human in the loop ai","3","human on the loop vs human in the loop","/insights/human-approval-gates-for-marketing-agents/","C","140","30","11.30","75","8","71.19","SEMrush Keyword Magic Tool, US database","2026-08-25"
"193","human in the loop ai","4","humans in the loop","/insights/human-approval-gates-for-marketing-agents/","I","1600","57","5.21","75","9","67.89","SEMrush Keyword Magic Tool, US database","2026-08-25"
"194","human in the loop ai","5","human in the loop automation","/insights/human-approval-gates-for-marketing-agents/","I","140","25","12.53","75","9","67.44","SEMrush Keyword Magic Tool, US database","2026-08-25"
"195","human in the loop ai","6","human-in-the-loop","/insights/human-approval-gates-for-marketing-agents/","I","2400","67","5.21","75","5","66.79","SEMrush Keyword Magic Tool, US database","2026-08-25"
"196","human in the loop ai","7","human in the loop review","/insights/human-approval-gates-for-marketing-agents/","C","50","37","0.00","75","7","65.91","SEMrush Keyword Magic Tool, US database","2026-08-25"
"197","human in the loop ai","8","human in the loop ai agents","/insights/human-approval-gates-for-marketing-agents/","I","170","34","8.37","75","8","65.86","SEMrush Keyword Magic Tool, US database","2026-08-25"
"198","human in the loop ai","9","human in the loop rpa","/insights/human-approval-gates-for-marketing-agents/","I","40","22","0.00","75","6","63.9","SEMrush Keyword Magic Tool, US database","2026-08-25"
"199","human in the loop ai","10","human-in-the-loop agentic ai","/insights/human-approval-gates-for-marketing-agents/","I","40","22","4.27","75","7","63.9","SEMrush Keyword Magic Tool, US database","2026-08-25"
"200","human in the loop ai","11","ai human in the loop","/insights/human-approval-gates-for-marketing-agents/","I","110","49","5.30","82","7","63.55","SEMrush Keyword Magic Tool, US database","2026-08-25"
